product_name,drug_name,company_name,company_type,outcome,start_date,last_updated,din,dose,pharmaceutical_form,route_of_administration,medical_necessity,marketed_by_other_manufacturers,est_resupply_date,discontinued,discontinuation_date
Xylocaine® Viscous 2% (1x100mL),Xylocaine® Viscous 2% (1x100mL),AstraZeneca Canada Inc.,Innovator,Resolved,2013-09-16T00:00:00Z,2013-11-06T00:00:00Z,00001686,2% (20 mg/mL),Liquid,Injectable,Yes,,2013-11-08T00:00:00Z,No,
XYLOCAINE OINTMENT 5%,LIDOCAINE,AstraZeneca Canada Inc.,Innovator,Resolved,2015-02-04T00:00:00Z,2015-03-09T00:00:00Z,00001961,0.05,Ointment,Topical,No,,2015-02-27T00:00:00Z,No,
Imuran tablet,Azathioprine Sodium,ASPEN PHARMA TRADING LIMITED,Generic,Resolved,2015-12-08T00:00:00Z,2015-12-11T00:00:00Z,00004596,50 mg,Tablet,Oral,,,2015-12-14T00:00:00Z,No,
PURINETHOL 50MG TABLETS,PURINETHOL 50MG TABLETS,Teva Canada Limited,Generic,Resolved,2013-11-06T00:00:00Z,2013-11-15T00:00:00Z,00004723,50 mg,Tablet,Oral,,,2013-11-18T00:00:00Z,No,
PURINETHOL,MERCAPTOPURINE,Teva Canada Limited,Generic,Resolved,2014-03-06T00:00:00Z,2014-05-12T00:00:00Z,00004723,50 mg,Tablet,Oral,,,2014-06-30T00:00:00Z,No,
RITALIN 10MG,METHYLPHENIDATE HYDROCHLORIDE,Novartis Canada Inc.,Innovator,Resolved,2014-02-05T00:00:00Z,2014-03-26T00:00:00Z,00005606,10 mg,Tablet,Oral,No,5.0,2014-03-26T00:00:00Z,No,
RITALIN 20MG,METHYLPHENIDATE HYDROCHLORIDE,Novartis Canada Inc.,Innovator,Resolved,2014-03-14T00:00:00Z,2014-04-22T00:00:00Z,00005614,20 mg,Tablet,Oral,,,2014-04-22T00:00:00Z,No,
SINTROM,ACENOCOUMAROL,Paladin Labs Inc.,Generic,Resolved,2015-01-22T00:00:00Z,2015-02-19T00:00:00Z,00010383,1 mg,Tablet,Oral,Yes,0.0,2015-02-28T00:00:00Z,No,
FLUOROURACIL INJECTION,FLUOROURACIL,Sandoz Canada Inc.,Generic,Resolved,2015-06-03T00:00:00Z,2015-08-29T00:00:00Z,00012882,50 mg,Solution,Injectable,Yes,,2015-08-31T00:00:00Z,No,
VALIUM 5 TAB,DIAZEPAM,Hoffmann-La Roche Limited,Innovator,Resolved,2014-10-09T00:00:00Z,2014-10-30T00:00:00Z,00013285,5 mg,Tablet,Oral,,,2014-10-31T00:00:00Z,No,
TEVA-AMPICILLIN 250MG,AMPICILLIN,Teva Canada Limited,Generic,Resolved,2015-06-01T00:00:00Z,2015-06-12T00:00:00Z,00020877,250 mg,Capsule,Oral,No,,2015-06-26T00:00:00Z,No,
TEVA-QUININE,QUININE SULFATE,Teva Canada Limited,Generic,Resolved,2014-10-31T00:00:00Z,2015-02-13T00:00:00Z,00021016,300 mg,Capsule,Oral,,,2015-02-11T00:00:00Z,No,
TEVA-CHLOROQUINE,CHLOROQUINE DIPHOSPHATE,Teva Canada Limited,Generic,Resolved,2014-07-29T00:00:00Z,2014-09-15T00:00:00Z,00021261,250 mg,Tablet,Oral,,,2014-08-29T00:00:00Z,No,
TEVA-CHLOROQUINE,CHLOROQUINE DIPHOSPHATE,Teva Canada Limited,Generic,Resolved,2014-11-14T00:00:00Z,2015-01-05T00:00:00Z,00021261,250 mg,Tablet,Oral,,,2014-12-29T00:00:00Z,No,
TEVA-CHLOROQUINE,CHLOROQUINE DIPHOSPHATE,Teva Canada Limited,Generic,Current,2015-09-24T00:00:00Z,2016-01-28T00:00:00Z,00021261,250 mg,Tablet,Oral,,,2016-07-31T00:00:00Z,No,
DILANTIN,DILANTIN,Pfizer Canada Inc.,Innovator,Resolved,2013-10-22T00:00:00Z,2013-10-31T00:00:00Z,00022772,30 mg,Capsule,Oral,,,2013-10-28T00:00:00Z,No,
DILANTIN - 100MG,PHENYTOIN SODIUM,Pfizer Canada Inc.,Innovator,Resolved,2015-04-07T00:00:00Z,2015-05-08T00:00:00Z,00022780,100 mg,Capsule,Oral,,,2015-05-08T00:00:00Z,No,
CELONTIN,Celontin 300mg,Erfa Canada 2012 Inc.,Generic,Current,2013-06-11T00:00:00Z,2015-06-25T00:00:00Z,00022802,300 mg,Capsule,Oral,,,,No,
DILANTIN-30 SUSPENSION,PHENYTOIN,Pfizer Canada Inc.,Innovator,Resolved,2014-12-22T00:00:00Z,2015-01-29T00:00:00Z,00023442,30 mg,Suspension,Injectable,Yes,,2015-01-29T00:00:00Z,No,
DILANTIN INFATABS,DILANTIN INFATABS,Pfizer Canada Inc.,Innovator,Resolved,2013-04-04T00:00:00Z,2013-06-10T00:00:00Z,00023698,50 mg,Tablet,Oral,,,2013-06-03T00:00:00Z,No,
VIBRAMYCIN CAP 100MG,DOXYCYCLINE (DOXYCYCLINE HYCLATE),Pfizer Canada Inc.,Innovator,Resolved,2015-06-13T00:00:00Z,2015-11-20T00:00:00Z,00024368,100 mg,Capsule,Oral,,,,Yes,2015-06-19T00:00:00Z
Navane 2mg,Navane 2mg,Erfa Canada 2012 Inc.,Generic,Current,2013-09-10T00:00:00Z,2015-06-25T00:00:00Z,00024430,2 mg,Capsule,Oral,,,,No,
Navane 10mg,Navane 10mg,Erfa Canada 2012 Inc.,Generic,Current,2013-06-11T00:00:00Z,2015-06-25T00:00:00Z,00024457,10 mg,Capsule,Oral,,,,No,
DIHYDROERGOTAMINE (DHE),DIHYDROERGOTAMINE MESYLATE,STERIMAX INC,Generic,Resolved,2015-10-06T00:00:00Z,2015-11-30T00:00:00Z,00027243,1 mg,Liquid,Injectable,Yes,,2015-11-30T00:00:00Z,No,
